date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:24	292/292	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/img/glyphicons/glyphicons_266_book_open.png	twitter.github.com/bootstrap/assets/img/glyphicons/glyphicons_266_book_open.png	(from )
16:17:24	345/345	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/img/glyphicons/glyphicons_082_roundabout.png	twitter.github.com/bootstrap/assets/img/glyphicons/glyphicons_082_roundabout.png	(from )
16:17:24	316/316	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/img/glyphicons/glyphicons_009_magic.png	twitter.github.com/bootstrap/assets/img/glyphicons/glyphicons_009_magic.png	(from )
16:17:24	1181/1181	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/img/less-small.png	twitter.github.com/bootstrap/assets/img/less-small.png	(from )
16:17:25	452/452	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/img/icon-html5.png	twitter.github.com/bootstrap/assets/img/icon-html5.png	(from )
16:17:25	52355/52355	---M--	200	added ('OK')	application/zip	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/bootstrap.zip	twitter.github.com/bootstrap/assets/bootstrap.zip	(from )
16:17:25	370/370	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/img/icon-css3.png	twitter.github.com/bootstrap/assets/img/icon-css3.png	(from )
16:17:25	312/312	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/img/icon-github.png	twitter.github.com/bootstrap/assets/img/icon-github.png	(from )
16:17:25	264/264	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/img/icon-twitter.png	twitter.github.com/bootstrap/assets/img/icon-twitter.png	(from )
16:17:29	247823/247823	---MC-	200	added ('OK')	application/x-javascript	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/js/jquery.js	twitter.github.com/bootstrap/assets/js/jquery.js	(from )
16:17:30	13632/13632	---MC-	200	added ('OK')	application/x-javascript	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/js/google-code-prettify/prettify.js	twitter.github.com/bootstrap/assets/js/google-code-prettify/prettify.js	(from )
16:17:30	7258/7258	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/img/example-sites/jshint.png	twitter.github.com/bootstrap/assets/img/example-sites/jshint.png	(from )
16:17:30	1869/1869	---MC-	200	added ('OK')	application/x-javascript	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/js/bootstrap-transition.js	twitter.github.com/bootstrap/assets/js/bootstrap-transition.js	(from )
16:17:30	2403/2403	---MC-	200	added ('OK')	application/x-javascript	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/js/bootstrap-alert.js	twitter.github.com/bootstrap/assets/js/bootstrap-alert.js	(from )
16:17:30	5490/5490	---MC-	200	added ('OK')	application/x-javascript	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/js/bootstrap-modal.js	twitter.github.com/bootstrap/assets/js/bootstrap-modal.js	(from )
